datetime,GISP2,EPICA Dome C CO2
-701518-01-21 23:35:05,,233.35
-701060-08-07 03:22:21,,230.59
-700784-04-23 01:36:42,,232.18
-700251-08-28 23:51:10,,232.16
-700043-06-06 08:46:20,,230.88
-699574-01-21 19:36:39,,232.46
-699318-01-18 04:01:20,,235.42
-698865-09-27 21:37:05,,236.61
-698535-07-23 01:59:10,,236.72
-698154-11-20 21:22:12,,237.21
-697915-11-12 11:18:21,,239.73
-697489-07-23 10:08:39,,239.01
-697266-10-30 01:09:42,,238.86
-696803-05-06 20:53:03,,241.83
-696555-01-13 17:02:58,,240.9
-696089-07-30 19:20:22,,241.03
-695797-11-24 09:43:43,,239.88
-695392-02-16 06:13:30,,238.42
-695140-04-13 17:34:24,,239.44
-694695-09-29 12:31:48,,238.13
-694485-09-08 11:15:47,,238.05
-694032-09-10 20:06:23,,238.74
-693782-04-07 07:59:59,,236.8
-693309-04-25 03:43:51,,239.8
-692999-06-08 01:35:14,,239.31
-692587-10-02 17:30:32,,240.46
-692330-03-22 09:30:37,,239.34
-691871-04-13 11:31:15,,237.76
-691624-07-13 14:43:42,,243.7
-691127-06-24 17:23:05,,238.47
-690882-02-10 22:09:46,,239.3
-690368-03-25 05:49:28,,243.56
-690018-08-11 19:18:11,,239.38
-689518-11-24 19:46:27,,238.42
-689272-09-27 23:11:08,,239.29
-688786-03-07 03:20:14,,236.45
-688525-12-02 15:10:18,,235.8
-688001-02-13 08:24:48,,232.27
-687743-04-23 05:36:45,,232.07
-687208-09-26 20:44:40,,230.67
-686860-09-12 12:57:22,,227.64
-686350-06-09 02:21:28,,227.65
-686050-03-10 10:44:09,,226.73
-685495-01-25 00:55:34,,222.97
-685204-07-11 12:42:59,,222.7
-684632-10-03 01:45:29,,222.62
-684319-06-15 07:24:41,,220.63
-683730-09-11 14:55:43,,220.62
-683345-09-22 19:49:11,,221.82
-682808-07-03 12:47:55,,224.36
-682474-11-20 05:16:23,,225.64
-681879-10-24 18:15:53,,222.7
-681508-09-13 10:33:47,,220.24
-680790-06-22 07:59:44,,219.14
-680394-11-08 00:51:42,,221.31
-679720-08-18 22:11:25,,227.9
-679276-11-22 10:10:19,,225.81
-678678-12-14 04:09:27,,233.11
-678363-12-24 10:09:17,,233.61
-677785-05-23 22:06:24,,232.7
-677505-03-10 16:31:11,,229.16
-676792-12-09 07:23:06,,220.09
-676378-05-19 01:01:01,,218.21
-675651-10-26 19:51:32,,216.59
-675202-04-01 09:16:47,,219.96
-674581-10-26 23:31:25,,222.57
-673456-01-10 21:53:54,,216.12
-673078-02-26 22:40:53,,211.69
-672279-03-05 18:24:05,,204.67
-671746-06-12 11:22:40,,201.12
-670811-03-05 07:32:56,,197.13
-670201-09-03 16:14:44,,194.79
-669508-08-15 06:12:18,,196.83
-669121-10-20 17:35:37,,194.88
-668346-03-26 05:58:39,,191.51
-667869-04-03 01:59:07,,187.66
-666965-01-05 08:56:06,,180.67
-666465-04-17 17:44:53,,177.71
-665460-09-09 05:54:28,,173.71
-664803-03-10 17:59:30,,174.77
-663886-01-11 09:46:21,,180.54
-663372-08-10 17:42:29,,180.17
-662458-06-17 07:42:30,,187.77
-662370-02-23 09:49:49,,192.55
-661987-01-10 08:13:26,,191.02
-660928-12-30 02:47:12,,190.86
-660847-12-08 19:40:20,,193.91
-660332-05-13 08:44:09,,189.69
-659266-08-24 19:34:37,,191.59
-659168-03-23 03:35:14,,193.97
