Age,d18O
1045.19,4.21
1047.218,4.28
1049.05,4.23
1051.329,4.18
1053.611,4.21
1055.896,4.2
1058.174,4.15
1060.228,4.04
1062.309,3.79
1064.603,3.67
1067.531,3.34
1070.554,2.92
1072.791,3.93
1074.74,4.03
1076.651,3.36
1078.229,3.61
1079.894,3.58
1081.655,3.84
1083.255,3.63
1084.856,3.61
1086.457,4.14
1088.217,4.24
1089.983,4.24
1091.788,4.28
1093.979,4.12
1096.387,4.3
1098.508,4.33
1100.43,4.08
1102.139,3.9
1105.129,4
1106.625,3.83
1108.12,3.89
1109.584,3.92
1111.384,4.2
1113.263,4.23
1115.044,4.31
1117.469,4.34
1119.781,4.48
1122.442,4.36
1125.084,4.42
1127.396,4.34
1129.709,4.21
1131.794,4.36
1134.11,4.05
1135.959,3.95
1138.04,3.92
1140.35,3.88
1142.661,3.89
1144.93,4.04
1147.308,3.86
1149.47,3.8
1151.848,3.62
1154.009,3.68
1155.954,3.7
1158.116,3.89
1160.205,3.78
1162.904,3.54
1165.605,3.79
1168.312,3.8
1171.855,3.5
1175.231,3.57
1178.605,3.94
1181.983,3.71
1185.805,4.11
1189.669,4.16
1193.531,4.14
1197.392,4.1
1201.112,3.87
1204.427,4.17
1207.736,4.09
1211.72,4.18
1215.871,4.02
1220.014,3.77
1224.514,3.77
1228.078,3.55
1231.642,3.76
1235.208,3.49
1238.56,3.51
1241.084,3.83
1243.417,4.06
1245.556,4.42
1246.711,4.27
1247.402,4.45
1247.913,4.38
1248.594,4.58
1249.79,4.52
1251.585,4.25
1253.695,4.3
1256.144,4.22
1258.03,4.19
1261.412,4.1
1265.48,3.98
1269.393,3.89
1273.128,3.85
1277.158,3.77
1279.912,3.68
1281.927,3.81
1284.008,3.87
1285.907,4.03
1287.7,4.25
1289.492,4.35
1291.284,4.28
1293.053,4.26
1294.714,4.22
1295.876,4.2
1297.533,4.26
1298.527,4.35
1299.687,4.09
1300.847,4.11
1302.669,4.13
1304.656,4.05
1307.147,3.94
1309.636,3.79
1311.817,3.77
1313.479,3.7
1315.133,3.8
1316.317,3.65
1318.152,3.84
1319.532,4.01
1320.756,4.14
1322.469,4.14
1324.183,4.15
1326.007,4.1
1328.767,4.16
1331.82,4.14
1335.182,4.09
1343.083,3.98
1345.733,3.89
1348.541,3.59
1350.829,3.54
1352.653,3.48
1355.167,3.41
1357.453,3.68
1359.654,3.745
1362.498,3.91
1365.593,4.05
1367.903,4.22
1370.493,4.21
1375.117,4.11
1377.592,4.18
1379.907,4.08
1382.13,4.1
1384.992,3.85
1387.824,3.91
1391.002,3.75
1394.359,3.55
1397.152,3.54
1399.908,3.68
1402.403,3.86
1405.261,4.01
1408.343,4.19
1412.124,4.27
1415.981,4.25
1419.195,4.08
1422.452,3.88
1425.53,3.86
1428.604,3.49
1431.682,3.51
1435.149,3.46
1437.943,3.22
1440.408,3.35
1442.871,3.24
1445.581,3.28
1448.638,3.73
1451.061,4
1454.048,4.31
1457.399,4.34
1460.751,4.2
1464.341,4.03
1467.319,3.73
1469.702,3.74
1472.39,3.74
1474.854,3.54
1477.32,3.47
1479.784,3.36
1482.393,3.39
1485.752,3.41
1489.831,3.94
1494.716,4.32
1500.838,4.19
1507.375,4.06
1511.96,3.73
1516.103,3.57
1520.143,3.72
1523.955,3.92
1530.967,4.095
1534.624,4.4
1538.282,4.3
1541.571,4.3
1545.31,3.8
1548.827,3.83
1552.081,4.105
1555.122,3.87
1558.396,3.81
1561.671,3.72
1564.478,3.79
1568.09,3.885
1570.622,3.98
1572.431,4.17
1576.268,4.145
1578.966,4.1
1580.122,4.05
1583.245,3.83
1584.028,3.88
1589.512,3.81
1591.44,3.87
1592.175,3.78
1595.485,3.76
